case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
no-exit/1024/base	serialization	188922	5374495	2097152	85667840
no-exit/1024/base	combined	2562188	83913639	20476998	85667840
irreducible/64/base	ir	3032	242131	167769	85667840
irreducible/64/base	cfg	690	172656	85084	85667840
irreducible/64/base	emission_exclusive	16410067	362966196	9142101	85667840
irreducible/64/base	serialization	2739433	16602620	1274378	85667840
irreducible/64/base	combined	19153222	379983603	9226959	85667840
irreducible/256/base	ir	12113	974548	675289	85667840
irreducible/256/base	cfg	3426	2506960	1224988	85667840
irreducible/256/base	emission_exclusive	26437227	659688983	13755544	85667840
irreducible/256/base	serialization	3945831	24608381	1848383	85667840
irreducible/256/base	combined	30398597	687778872	14095163	85667840
irreducible/1024/base	ir	48419	3911709	2704665	85667840
irreducible/1024/base	cfg	16652	38975896	19055644	85667840
irreducible/1024/base	emission_exclusive	44108854	1194058206	17463088	85667840
irreducible/1024/base	serialization	5140545	34956339	2443239	85667840
irreducible/1024/base	combined	49314470	1271902150	20485337	85667840
