file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
01539_sub_7726b4.dartpseudo	vanished_behind_indirect_branch_and_trap	35	5	279	6	indirect_branch_only	0	dispatch_selector_rendering:2;disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:3;lost_edge_after_Trap:3	fn_0x777e74;sel64036;sel66823;sub_63ee98;sub_772c00	fn_0x777e74:2;sel64036:15;sel66823:14;sub_63ee98:2;sub_772c00:2
01540_sub_772c00.dartpseudo	dispatch_selector_rendering_only	18	1	144	116	indirect_branch_only	0	dispatch_selector_rendering:1	sel4096	sel4096:18
01551_sub_7781e4.dartpseudo	fewer_renderings_same_callees	6	0	76	55	trap_only	2			sel1814:3;sub_d4fcf4:3
01569_sub_799d40.dartpseudo	fewer_renderings_same_callees	3	0	38	26	trap_only	2			fn_0x799ed4:1;sel86171:1;sub_695a1c:1
01620_sub_7bdb68.dartpseudo	vanished_behind_indirect_branch_and_trap	16	2	48	7	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:1	fn_0x7bdc34;sub_d4fcf4	fn_0x7bdc34:8;sub_d4fcf4:8
01701_sub_7c94a8.dartpseudo	vanished_behind_indirect_branch	20	2	114	68	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_902920;sub_d5630c	sub_902920:10;sub_d5630c:10
01702_sub_7c96b4.dartpseudo	vanished_behind_indirect_branch	20	2	114	68	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_902968;sub_d5630c	sub_902968:10;sub_d5630c:10
01703_sub_7c98c0.dartpseudo	vanished_behind_indirect_branch	20	2	114	68	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:2	sub_9029b0;sub_d5630c	sub_9029b0:10;sub_d5630c:10
01708_sub_7cbe74.dartpseudo	vanished_behind_indirect_branch_and_trap	72	2	148	22	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:2	sub_7cbfd4;sub_d4fcf4	sub_7cbe74:18;sub_7cbfd4:18;sub_d4fcf4:36
01709_sub_7cbfd4.dartpseudo	vanished_behind_indirect_branch_and_trap	72	2	148	22	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:2	sub_7cc134;sub_d4fcf4	sub_7cbfd4:18;sub_7cc134:18;sub_d4fcf4:36
01710_sub_7cc134.dartpseudo	vanished_behind_indirect_branch_and_trap	72	2	148	22	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:2	sub_7cc294;sub_d4fcf4	sub_7cc134:18;sub_7cc294:18;sub_d4fcf4:36
01711_sub_7cc294.dartpseudo	vanished_behind_indirect_branch_and_trap	126	3	318	128	indirect_branch_only	0	disposition_RetainedUnreachable:6;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:5	fn_0x7cc474;sub_627f10;sub_d4fcf4	fn_0x7cc474:18;sub_627f10:36;sub_7cc294:18;sub_d4fcf4:54
01715_sub_7cd630.dartpseudo	fewer_renderings_same_callees	1	0	33	28	trap_only	2			sub_7cd7e4:1
01722_sub_7cf1e4.dartpseudo	vanished_behind_indirect_branch	4	2	17	7	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_7cf2b0;sub_d5630c	sub_7cf2b0:2;sub_d5630c:2
01723_sub_7cf2b0.dartpseudo	dispatch_selector_rendering_only	2	1	16	8	indirect_branch_only	0	dispatch_selector_rendering:1	sel70954	sel70954:2
01749_sub_7d244c.dartpseudo	fewer_renderings_same_callees	4	0	45	19	trap_only	2			sel63431:1;sel80775:1;sub_8fa244:1;sub_d4fcf4:1
