run	case	phase	pairs	reference_median_nanos	reference_mad_nanos	candidate_median_nanos	candidate_mad_nanos	median_paired_delta	noise_mad_of_deltas	mde	clears_mde
aa-1	linear/1024/base	ir	15	5720495.0	109988.0	5728270.0	144063.0	+0.006890	0.026181	0.078542	no
aa-1	linear/1024/base	serialization	15	18862071.0	486570.0	18579870.0	620656.0	+0.001603	0.044510	0.133529	no
aa-1	linear/1024/heavy	cfg	15	21836118.0	179615.0	21545760.0	111267.0	-0.010251	0.016735	0.050206	no
aa-1	linear/1024/heavy	combined	15	277334575.0	4602373.0	276581648.0	3116684.0	-0.003430	0.017976	0.053929	no
aa-1	linear/1024/heavy	emission_exclusive	15	160768162.0	1184185.0	163249631.0	2648880.0	-0.001752	0.026037	0.078110	no
aa-1	linear/1024/heavy	ir	15	26588625.0	93200.0	26688667.0	212183.0	+0.001106	0.008769	0.050000	no
aa-1	linear/1024/heavy	serialization	15	67217191.0	1780084.0	64886182.0	2147152.0	-0.030063	0.049909	0.149728	no
aa-1	linear/1024/light	cfg	15	21944745.0	307795.0	22045970.0	343385.0	+0.002158	0.013044	0.050000	no
aa-1	linear/1024/light	combined	15	105011715.0	1699612.0	105268071.0	1244843.0	-0.002358	0.020343	0.061028	no
aa-1	linear/1024/light	emission_exclusive	15	57461640.0	1026611.0	57122199.0	639941.0	+0.006356	0.019788	0.059365	no
aa-1	linear/1024/light	ir	15	7022559.0	114998.0	6948729.0	97445.0	-0.011376	0.029604	0.088811	no
aa-1	linear/1024/light	serialization	15	18632581.0	512648.0	18674770.0	364001.0	-0.003180	0.022559	0.067676	no
aa-1	linear/256/base	cfg	15	1425468.0	7765.0	1413445.0	22302.0	-0.003874	0.022267	0.066801	no
aa-1	linear/256/base	combined	15	19745744.0	257135.0	19738764.0	148865.0	-0.002409	0.019192	0.057576	no
aa-1	linear/256/base	emission_exclusive	15	13120738.0	68158.0	13136048.0	74442.0	-0.001254	0.020995	0.062986	no
aa-1	linear/256/base	ir	15	614803.0	3125.0	616597.0	2215.0	+0.001398	0.010371	0.050000	no
aa-1	linear/256/base	serialization	15	4555831.0	98125.0	4580338.0	108856.0	-0.006039	0.017901	0.053702	no
aa-1	linear/256/heavy	cfg	15	1118557.0	5611.0	1117525.0	6903.0	-0.003201	0.008953	0.050000	no
aa-1	linear/256/heavy	combined	15	60811494.0	825527.0	60903549.0	547382.0	+0.008058	0.013669	0.050000	no
aa-1	linear/256/heavy	emission_exclusive	15	40312674.0	263314.0	40754906.0	615932.0	-0.002260	0.017166	0.051499	no
aa-1	linear/256/heavy	ir	15	2809937.0	26409.0	2768940.0	55665.0	-0.022164	0.031574	0.094722	no
aa-1	linear/256/heavy	serialization	15	16143528.0	378706.0	16470179.0	353527.0	+0.013886	0.026913	0.080738	no
aa-1	linear/256/light	cfg	15	1273039.0	19236.0	1274682.0	9789.0	-0.008809	0.013677	0.050000	no
aa-1	linear/256/light	combined	15	20682338.0	177002.0	20824657.0	140274.0	+0.004460	0.016169	0.050000	no
aa-1	linear/256/light	emission_exclusive	15	14214417.0	72927.0	14276837.0	122824.0	+0.000886	0.014412	0.050000	no
aa-1	linear/256/light	ir	15	702880.0	5210.0	703691.0	8787.0	-0.003406	0.010629	0.050000	no
aa-1	linear/256/light	serialization	15	4472022.0	66636.0	4651873.0	63872.0	+0.030287	0.026744	0.080231	no
aa-1	linear/64/base	cfg	15	114076.0	2254.0	113455.0	1964.0	+0.000994	0.033261	0.099783	no
aa-1	linear/64/base	combined	15	4921042.0	36199.0	4900062.0	20159.0	-0.005311	0.011017	0.050000	no
aa-1	linear/64/base	emission_exclusive	15	3484824.0	24135.0	3478423.0	17754.0	-0.007159	0.008659	0.050000	no
aa-1	linear/64/base	ir	15	138503.0	1614.0	138692.0	1703.0	+0.003295	0.023614	0.070843	no
aa-1	linear/64/base	serialization	15	1164684.0	5180.0	1165245.0	4248.0	-0.009039	0.012185	0.050000	no
aa-1	linear/64/heavy	cfg	15	90692.0	691.0	90922.0	822.0	+0.001773	0.017915	0.053745	no
aa-1	linear/64/heavy	combined	15	15054560.0	100529.0	15038938.0	70645.0	-0.004096	0.012874	0.050000	no
aa-1	linear/64/heavy	emission_exclusive	15	10349765.0	38884.0	10347522.0	51497.0	-0.003423	0.009211	0.050000	no
aa-1	linear/64/heavy	ir	15	472844.0	3868.0	469879.0	3968.0	-0.000170	0.011709	0.050000	no
