case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
no-exit/1024/base	serialization	188923	5376543	2097152	88731648
no-exit/1024/base	combined	2549223	84439963	20476998	88731648
irreducible/64/base	ir	3034	244691	168793	88731648
irreducible/64/base	cfg	690	172656	85084	88731648
irreducible/64/base	emission_exclusive	17975099	328174604	7949435	88731648
irreducible/64/base	serialization	2469874	14999594	1150136	88731648
irreducible/64/base	combined	20448697	343591545	8034293	88731648
irreducible/256/base	ir	12115	984788	679385	88731648
irreducible/256/base	cfg	3426	2506960	1224988	88731648
irreducible/256/base	emission_exclusive	55708864	909824779	14417937	88731648
irreducible/256/base	serialization	4317512	26812483	2014150	88731648
irreducible/256/base	combined	60041917	940129010	14757556	88731648
irreducible/1024/base	ir	48421	3952669	2721049	88940544
irreducible/1024/base	cfg	16652	38975896	19055644	88940544
irreducible/1024/base	emission_exclusive	119832089	3853606648	30230056	88940544
irreducible/1024/base	serialization	4995738	34008953	2332903	88940544
irreducible/1024/base	combined	124892900	3930544166	31588716	88940544
